原文,当前译文,状态,来源
150 Gold Pieces,150 Gold Pieces,pending,existing_corpus | exe:resource@0x54159C:csv
250 Gold Pieces,250 Gold Pieces,pending,existing_corpus | exe:resource@0x54159C:csv
2nd Sealed Note,2nd Sealed Note,pending,existing_corpus | exe:resource@0x54159C:csv
3rd Sealed Note,3rd Sealed Note,pending,existing_corpus | exe:resource@0x54159C:csv
40 Gold Pieces,40 Gold Pieces,pending,existing_corpus | exe:resource@0x54159C:csv
500 Gold Pieces,500 Gold Pieces,pending,existing_corpus | exe:resource@0x54159C:csv
750 Gold Pieces,750 Gold Pieces,pending,existing_corpus | exe:resource@0x54159C:csv
80 Gold Pieces,80 Gold Pieces,pending,existing_corpus | exe:resource@0x54159C:csv
A History of Thaermore,A History of Thaermore,pending,existing_corpus | exe:resource@0x54159C:csv
A World of Wonder,A World of Wonder,pending,existing_corpus | exe:resource@0x54159C:csv
Acid,Acid,pending,existing_corpus | exe:blitz_string@0x193F24 | exe:resource@0x54159C:csv
Adamantine Bracers,Adamantine Bracers,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Chest Plate,Adamantine Chest Plate,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Dagger,Adamantine Dagger,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Great Axe,Adamantine Great Axe,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Great Helm,Adamantine Great Helm,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Great Shield,Adamantine Great Shield,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Great Sword,Adamantine Great Sword,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Greaves,Adamantine Greaves,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Plate Boots,Adamantine Plate Boots,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Plate Gauntlets,Adamantine Plate Gauntlets,pending,existing_corpus | exe:resource@0x54159C:csv
Adamantine Studded Jerkin,Adamantine Studded Jerkin,pending,existing_corpus | exe:resource@0x54159C:csv
