原文,译文,备注
Eschalon,阿斯卡隆,世界名；建议游戏名用《阿斯卡隆：卷一》
Book I,卷一,副标题
Thaermore,泰尔摩,地区名
Crux of Ages,岁月之核,核心宝石与主线物品
Bastion Spire,堡垒尖塔,首都地标
Crakamir,克拉卡米尔,地区名
Aridell,阿里德尔,村庄
Blackwater,黑水镇,城镇
Bordertown,边境镇,城镇
Tangletree Forest,缠枝森林,地区
Grimmhold,格里姆要塞,要塞
Vela,维拉,城镇
Orakur,奥拉库尔,组织/种族名
Goblin,地精,种族
Magick,魔法,游戏特有拼写统一译为魔法
Strength,力量,基础属性
Dexterity,敏捷,基础属性
Endurance,耐力,基础属性
Speed,速度,基础属性
Intelligence,智力,基础属性
Wisdom,智慧,基础属性；不要与 Perception 混用
Perception,感知,基础属性
Concentration,专注,基础属性
Hit Points,生命值,数值术语
Mana Points,法力值,数值术语
Armor Rating,护甲等级,数值术语
ToHit,命中率,数值术语
Alchemy,炼金术,技能
Divination,神谕魔法,魔法技能
Elemental,元素魔法,魔法技能
Lore,博识,技能
Cartography,制图术,技能
Dodge,闪避,技能
Hide in Shadows,潜影,技能
Move Silently,潜行,技能
Spot Hidden,察觉隐藏,技能
Pick Locks,开锁,技能
Skullduggery,机关术,技能
Light Armor,轻甲,技能/装备类型
Heavy Armor,重甲,技能/装备类型
Shield,盾牌,技能/装备类型
